Machine types,vCPU,Memory (GB),Description,Workloads
c4a-standard-32,32,128,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-48,48,192,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-64,64,256,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-72,72,288,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-1,1,2,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-2,2,4,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-4,4,8,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-8,8,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-16,16,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-32,32,64,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-48,48,96,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-64,64,128,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highcpu-72,72,144,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-1,1,8,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-2,2,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-4,4,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-8,8,64,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-16,16,128,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-32,32,256,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-48,48,384,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-64,64,512,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-highmem-72,72,576,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-2,2,7,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-4,4,15,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-8,8,31,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-16,16,62,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-32,32,124,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-48,48,186,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-64,64,248,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-96,96,372,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-192,192,744,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-standard-384,384,1488,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-2,2,3,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-4,4,7,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-8,8,15,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-16,16,30,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-32,32,60,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-48,48,90,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-64,64,120,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-96,96,180,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-192,192,360,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highcpu-384,384,720,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-2,2,15,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-4,4,31,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-8,8,63,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-16,16,126,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-32,32,252,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-48,48,378,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-64,64,504,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-96,96,756,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-192,192,1512,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4d-highmem-384,384,3024,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-standard-4,4,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-standard-8,8,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-standard-22,22,88,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-standard-44,44,176,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-standard-88,88,352,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-standard-176,176,704,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highcpu-4,4,8,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highcpu-8,8,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highcpu-22,22,44,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highcpu-44,44,88,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highcpu-88,88,176,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highcpu-176,176,352,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highmem-4,4,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highmem-8,8,64,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highmem-22,22,176,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highmem-44,44,352,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highmem-88,88,704,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3-highmem-176,176,1408,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-4,4,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-8,8,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-16,16,64,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-30,30,120,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-60,60,240,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-90,90,360,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-180,180,720,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-standard-360,360,1440,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-4,4,8,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-8,8,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-16,16,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-30,30,59,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-60,60,118,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-90,90,177,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-180,180,354,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highcpu-360,360,708,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-4,4,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-8,8,64,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-16,16,128,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-30,30,240,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-60,60,480,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-90,90,720,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-180,180,1440,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c3d-highmem-360,360,2880,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
e2-standard-2,2,8,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-standard-4,4,16,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-standard-8,8,32,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-standard-16,16,64,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-standard-32,32,128,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highcpu-2,2,2,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highcpu-4,4,4,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highcpu-8,8,8,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highcpu-16,16,16,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highcpu-32,32,32,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highmem-2,2,16,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highmem-4,4,32,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highmem-8,8,64,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-highmem-16,16,128,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-micro,2,1,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-small,2,2,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
e2-medium,2,4,Day-to-day computing at a lower cost,"Low-traffic web servers, Back office apps, Containerized microservices, Small databases, Virtual desktops, Development and test environments"
t2d-standard-1,1,4,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2d-standard-2,2,8,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2d-standard-4,4,16,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2d-standard-8,8,32,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2d-standard-16,16,64,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2d-standard-32,32,128,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2d-standard-48,48,192,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2d-standard-60,60,240,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2a-standard-1,1,4,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2a-standard-2,2,8,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2a-standard-4,4,16,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2a-standard-8,8,32,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2a-standard-16,16,64,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2a-standard-32,32,128,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
t2a-standard-48,48,192,Best per-core performance/cost for scale-out workloads,"Scale-out workloads, Web servers, Containerized microservices, Media transcoding, Large-scale Java applications"
